prefix_len,encoding,attribute,group,group_n,metric,disparity,violation_80pct,severity,harm_dir,small_support
10,complex,gender_cat,F,250,FNR,3.255813953488372,True,severe,higher,False
10,complex,citizen_cat,F,229,FNR,1.536945812807882,True,severe,higher,False
10,complex,age_group,18-29,6,FNR,0.0,True,severe,lower,True
10,complex,age_group,30-44,164,FNR,1.4630872483221475,True,high,higher,False
10,complex,age_group,65+,44,FNR,0.0,True,severe,lower,False
10,complex,german_speaking_cat,F,234,FNR,3.586206896551724,True,severe,higher,False
10,complex,religious_cat,F,252,FNR,1.3623853211009176,True,high,higher,False
10,simple,Act5,A06,207,PPR,0.42,True,severe,under,False
10,simple,Act6,A02,68,PPR,0.4217687074829932,True,severe,under,False
10,simple,Act6,A09,122,PPR,0.7891156462585034,True,moderate,under,False
10,simple,Act7,A02,114,PPR,0.4194915254237288,True,severe,under,False
10,simple,Act7,A09,187,PPR,0.6864406779661018,True,high,under,False
10,simple,Act8,A01,86,PPR,0.3906976744186046,True,severe,under,False
10,simple,Act8,A02,65,PPR,0.2186046511627906,True,severe,under,False
10,simple,Act8,A07,109,PPR,0.3767441860465116,True,severe,under,False
10,simple,Act8,A09,97,PPR,0.3255813953488372,True,severe,under,False
10,simple,Act9,A01,198,PPR,0.430722891566265,True,severe,under,False
10,simple,Act9,A02,13,PPR,0.0210843373493975,True,severe,under,True
10,simple,Act9,A07,10,PPR,0.0240963855421686,True,severe,under,True
10,simple,Act9,A09,16,PPR,0.0210843373493975,True,severe,under,True
10,simple,Act10,A01,128,PPR,0.1740614334470989,True,severe,under,False
10,simple,Act10,A04,158,PPR,0.5221843003412969,True,high,under,False
10,simple,gender_cat,F,250,PPR,0.6904761904761905,True,high,under,False
10,simple,citizen_cat,F,229,PPR,0.6084142394822006,True,high,under,False
10,simple,age_group,18-29,6,PPR,0.019108280254777,True,severe,under,True
10,simple,age_group,30-44,164,PPR,0.4585987261146497,True,severe,under,False
10,simple,age_group,65+,44,PPR,0.1050955414012738,True,severe,under,False
10,simple,german_speaking_cat,F,234,PPR,0.6402640264026402,True,high,under,False
10,simple,religious_cat,F,252,PPR,0.7197231833910035,True,high,under,False
10,simple,Act5,A06,207,PPR,0.7547826086956522,True,moderate,under,False
10,simple,Act6,A02,68,PPR,1.2839135654261704,True,high,over,False
10,simple,Act6,A07,182,PPR,1.3307916573222691,True,high,over,False
10,simple,Act6,A09,122,PPR,1.3389093342254934,True,high,over,False
10,simple,Act8,A02,65,PPR,0.7466189624329159,True,high,under,False
10,simple,Act8,A07,109,PPR,0.7673138468103264,True,moderate,under,False
10,simple,Act8,A09,97,PPR,0.7451450491488851,True,high,under,False
10,simple,Act9,A01,198,PPR,0.7439759036144579,True,high,under,False
10,simple,Act9,A02,13,PPR,0.5546802594995366,True,high,under,True
10,simple,Act9,A09,16,PPR,0.4506777108433735,True,severe,under,True
10,simple,Act10,A01,128,PPR,0.3984375,True,severe,under,False
10,simple,Act3,A03,281,FDR,0.522633744855967,True,high,lower,False
10,simple,Act4,A11,281,FDR,0.522633744855967,True,high,lower,False
